Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.220000	0.222000	0.223000	0.221667	0.000882
3	0.172000	0.171000	0.172000	0.171667	0.000333
4	0.205000	0.204000	0.205000	0.204667	0.000333
5	0.204000	0.204000	0.205000	0.204333	0.000333
6	0.217000	0.216000	0.217000	0.216667	0.000333
7	0.207000	0.205000	0.208000	0.206667	0.000882
8	0.205000	0.203000	0.207000	0.205000	0.001155
9	0.189000	0.187000	0.190000	0.188667	0.000882
10	0.180000	0.178000	0.182000	0.180000	0.001155
11	0.160000	0.158000	0.162000	0.160000	0.001155
12	0.147000	0.146000	0.149000	0.147333	0.000882
13	0.125000	0.124000	0.126000	0.125000	0.000577
14	0.108000	0.108000	0.109000	0.108333	0.000333
15	0.080000	0.080000	0.081000	0.080333	0.000333
16	0.027000	0.027000	0.027000	0.027000	0.000000
