Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.221000	0.220000	0.222000	0.221000	0.000577
3	0.171000	0.171000	0.171000	0.171000	0.000000
4	0.203000	0.204000	0.203000	0.203333	0.000333
5	0.203000	0.204000	0.203000	0.203333	0.000333
6	0.214000	0.216000	0.214000	0.214667	0.000667
7	0.204000	0.207000	0.205000	0.205333	0.000882
8	0.203000	0.206000	0.203000	0.204000	0.001000
9	0.187000	0.190000	0.186000	0.187667	0.001202
10	0.179000	0.181000	0.178000	0.179333	0.000882
11	0.160000	0.162000	0.159000	0.160333	0.000882
12	0.149000	0.150000	0.147000	0.148667	0.000882
13	0.128000	0.129000	0.126000	0.127667	0.000882
14	0.112000	0.112000	0.110000	0.111333	0.000667
15	0.084000	0.084000	0.082000	0.083333	0.000667
16	0.029000	0.028000	0.028000	0.028333	0.000333
