Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.219000	0.223000	0.223000	0.225000	0.224000	0.227000	0.225000	0.222000	0.222000	0.223333	0.000764
3	0.170000	0.173000	0.172000	0.176000	0.175000	0.176000	0.177000	0.172000	0.175000	0.174000	0.000782
4	0.206000	0.208000	0.206000	0.210000	0.209000	0.212000	0.211000	0.208000	0.209000	0.208778	0.000683
5	0.205000	0.209000	0.205000	0.210000	0.210000	0.212000	0.210000	0.210000	0.210000	0.209000	0.000799
6	0.217000	0.222000	0.218000	0.224000	0.223000	0.225000	0.222000	0.223000	0.223000	0.221889	0.000889
7	0.208000	0.212000	0.207000	0.216000	0.214000	0.214000	0.211000	0.213000	0.214000	0.212111	0.000992
8	0.208000	0.211000	0.206000	0.215000	0.213000	0.214000	0.210000	0.210000	0.212000	0.211000	0.000957
9	0.191000	0.194000	0.191000	0.198000	0.196000	0.196000	0.193000	0.193000	0.195000	0.194111	0.000790
10	0.183000	0.184000	0.184000	0.190000	0.187000	0.188000	0.186000	0.185000	0.186000	0.185889	0.000735
11	0.163000	0.163000	0.165000	0.169000	0.167000	0.166000	0.165000	0.163000	0.166000	0.165222	0.000683
12	0.151000	0.152000	0.153000	0.155000	0.152000	0.153000	0.152000	0.151000	0.153000	0.152444	0.000412
13	0.129000	0.130000	0.130000	0.134000	0.129000	0.130000	0.130000	0.129000	0.132000	0.130333	0.000553
14	0.111000	0.112000	0.114000	0.116000	0.113000	0.113000	0.113000	0.113000	0.115000	0.113333	0.000500
15	0.082000	0.084000	0.084000	0.086000	0.084000	0.084000	0.083000	0.084000	0.086000	0.084111	0.000423
16	0.027000	0.027000	0.028000	0.029000	0.028000	0.027000	0.028000	0.027000	0.028000	0.027667	0.000236
