Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.093000	0.091000	0.096000	0.093333	0.001453
3	0.207000	0.208000	0.209000	0.208000	0.000577
4	0.204000	0.204000	0.206000	0.204667	0.000667
5	0.213000	0.214000	0.216000	0.214333	0.000882
6	0.190000	0.191000	0.192000	0.191000	0.000577
7	0.181000	0.181000	0.184000	0.182000	0.001000
8	0.106000	0.104000	0.106000	0.105333	0.000667
9	0.062000	0.061000	0.062000	0.061667	0.000333
10	0.047000	0.048000	0.048000	0.047667	0.000333
11	0.076000	0.078000	0.078000	0.077333	0.000667
12	0.118000	0.120000	0.121000	0.119667	0.000882
13	0.124000	0.126000	0.127000	0.125667	0.000882
14	0.129000	0.130000	0.131000	0.130000	0.000577
15	0.116000	0.117000	0.119000	0.117333	0.000882
16	0.106000	0.106000	0.108000	0.106667	0.000667
17	0.082000	0.082000	0.083000	0.082333	0.000333
18	0.027000	0.027000	0.028000	0.027333	0.000333
