Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.223000	0.226000	0.224000	0.224333	0.000882
3	0.173000	0.176000	0.173000	0.174000	0.001000
4	0.206000	0.208000	0.204000	0.206000	0.001155
5	0.204000	0.208000	0.204000	0.205333	0.001333
6	0.216000	0.220000	0.216000	0.217333	0.001333
7	0.205000	0.210000	0.207000	0.207333	0.001453
8	0.203000	0.209000	0.207000	0.206333	0.001764
9	0.187000	0.192000	0.190000	0.189667	0.001453
10	0.178000	0.184000	0.182000	0.181333	0.001764
11	0.158000	0.164000	0.164000	0.162000	0.002000
12	0.147000	0.152000	0.152000	0.150333	0.001667
13	0.126000	0.131000	0.130000	0.129000	0.001528
14	0.110000	0.114000	0.113000	0.112333	0.001202
15	0.083000	0.085000	0.085000	0.084333	0.000667
16	0.028000	0.029000	0.029000	0.028667	0.000333
