Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.220000	0.220000	0.223000	0.221000	0.001000
3	0.169000	0.171000	0.173000	0.171000	0.001155
4	0.200000	0.202000	0.204000	0.202000	0.001155
5	0.198000	0.200000	0.203000	0.200333	0.001453
6	0.209000	0.211000	0.214000	0.211333	0.001453
7	0.199000	0.201000	0.204000	0.201333	0.001453
8	0.197000	0.200000	0.202000	0.199667	0.001453
9	0.180000	0.182000	0.185000	0.182333	0.001453
10	0.173000	0.174000	0.177000	0.174667	0.001202
11	0.153000	0.155000	0.157000	0.155000	0.001155
12	0.142000	0.143000	0.145000	0.143333	0.000882
13	0.122000	0.123000	0.124000	0.123000	0.000577
14	0.107000	0.108000	0.108000	0.107667	0.000333
15	0.080000	0.081000	0.081000	0.080667	0.000333
16	0.027000	0.027000	0.028000	0.027333	0.000333
