Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.220000	0.220000	0.219000	0.219667	0.000333
3	0.173000	0.171000	0.171000	0.171667	0.000667
4	0.207000	0.206000	0.205000	0.206000	0.000577
5	0.207000	0.208000	0.205000	0.206667	0.000882
6	0.221000	0.221000	0.218000	0.220000	0.001000
7	0.211000	0.213000	0.209000	0.211000	0.001155
8	0.211000	0.212000	0.208000	0.210333	0.001202
9	0.195000	0.196000	0.193000	0.194667	0.000882
10	0.187000	0.187000	0.185000	0.186333	0.000667
11	0.167000	0.167000	0.165000	0.166333	0.000667
12	0.154000	0.154000	0.153000	0.153667	0.000333
13	0.132000	0.131000	0.131000	0.131333	0.000333
14	0.114000	0.113000	0.113000	0.113333	0.000333
15	0.083000	0.083000	0.084000	0.083333	0.000333
16	0.027000	0.027000	0.028000	0.027333	0.000333
