Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.221000	0.219000	0.223000	0.221000	0.001155
3	0.171000	0.170000	0.173000	0.171333	0.000882
4	0.203000	0.201000	0.206000	0.203333	0.001453
5	0.204000	0.201000	0.206000	0.203667	0.001453
6	0.215000	0.213000	0.218000	0.215333	0.001453
7	0.204000	0.202000	0.207000	0.204333	0.001453
8	0.203000	0.201000	0.206000	0.203333	0.001453
9	0.187000	0.185000	0.189000	0.187000	0.001155
10	0.179000	0.178000	0.181000	0.179333	0.000882
11	0.158000	0.159000	0.161000	0.159333	0.000882
12	0.147000	0.147000	0.149000	0.147667	0.000667
13	0.126000	0.126000	0.127000	0.126333	0.000333
14	0.110000	0.110000	0.111000	0.110333	0.000333
15	0.083000	0.083000	0.083000	0.083000	0.000000
16	0.028000	0.028000	0.028000	0.028000	0.000000
