Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.220000	0.219000	0.219000	0.219333	0.000333
3	0.172000	0.171000	0.172000	0.171667	0.000333
4	0.207000	0.206000	0.207000	0.206667	0.000333
5	0.209000	0.206000	0.207000	0.207333	0.000882
6	0.221000	0.219000	0.220000	0.220000	0.000577
7	0.211000	0.210000	0.211000	0.210667	0.000333
8	0.211000	0.208000	0.210000	0.209667	0.000882
9	0.194000	0.192000	0.194000	0.193333	0.000667
10	0.185000	0.183000	0.186000	0.184667	0.000882
11	0.165000	0.162000	0.164000	0.163667	0.000882
12	0.151000	0.149000	0.151000	0.150333	0.000667
13	0.128000	0.127000	0.129000	0.128000	0.000577
14	0.110000	0.109000	0.111000	0.110000	0.000577
15	0.082000	0.081000	0.082000	0.081667	0.000333
16	0.027000	0.027000	0.028000	0.027333	0.000333
