Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.228000	0.221000	0.222000	0.223667	0.002186
3	0.176000	0.173000	0.174000	0.174333	0.000882
4	0.208000	0.206000	0.207000	0.207000	0.000577
5	0.207000	0.206000	0.207000	0.206667	0.000333
6	0.219000	0.218000	0.220000	0.219000	0.000577
7	0.209000	0.209000	0.210000	0.209333	0.000333
8	0.208000	0.208000	0.209000	0.208333	0.000333
9	0.193000	0.191000	0.192000	0.192000	0.000577
10	0.185000	0.183000	0.184000	0.184000	0.000577
11	0.165000	0.163000	0.164000	0.164000	0.000577
12	0.153000	0.151000	0.152000	0.152000	0.000577
13	0.132000	0.131000	0.130000	0.131000	0.000577
14	0.115000	0.113000	0.113000	0.113667	0.000667
15	0.086000	0.085000	0.085000	0.085333	0.000333
16	0.029000	0.028000	0.029000	0.028667	0.000333
