Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.223000	0.224000	0.217000	0.222000	0.222000	0.219000	0.224000	0.221000	0.222000	0.221556	0.000766
3	0.172000	0.173000	0.171000	0.173000	0.174000	0.173000	0.174000	0.175000	0.174000	0.173222	0.000401
4	0.206000	0.207000	0.206000	0.206000	0.207000	0.206000	0.209000	0.208000	0.207000	0.206889	0.000351
5	0.207000	0.208000	0.207000	0.207000	0.208000	0.207000	0.209000	0.207000	0.209000	0.207667	0.000289
6	0.219000	0.220000	0.221000	0.221000	0.220000	0.219000	0.222000	0.220000	0.223000	0.220556	0.000444
7	0.209000	0.211000	0.211000	0.211000	0.210000	0.209000	0.212000	0.211000	0.214000	0.210889	0.000512
8	0.209000	0.210000	0.210000	0.210000	0.210000	0.208000	0.212000	0.210000	0.213000	0.210222	0.000494
9	0.192000	0.194000	0.194000	0.193000	0.192000	0.191000	0.196000	0.194000	0.196000	0.193556	0.000580
10	0.183000	0.187000	0.185000	0.184000	0.184000	0.183000	0.188000	0.186000	0.188000	0.185333	0.000667
11	0.162000	0.165000	0.165000	0.163000	0.163000	0.164000	0.168000	0.166000	0.168000	0.164889	0.000716
12	0.150000	0.152000	0.153000	0.150000	0.150000	0.152000	0.155000	0.153000	0.155000	0.152222	0.000662
13	0.128000	0.130000	0.131000	0.128000	0.127000	0.129000	0.132000	0.131000	0.132000	0.129778	0.000619
14	0.111000	0.113000	0.113000	0.112000	0.111000	0.112000	0.114000	0.114000	0.115000	0.112778	0.000465
15	0.083000	0.083000	0.084000	0.084000	0.082000	0.083000	0.085000	0.084000	0.085000	0.083667	0.000333
16	0.028000	0.029000	0.027000	0.028000	0.027000	0.028000	0.029000	0.029000	0.028000	0.028111	0.000261
