Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.094000	0.094000	0.092000	0.093333	0.000667
3	0.203000	0.205000	0.204000	0.204000	0.000577
4	0.199000	0.201000	0.200000	0.200000	0.000577
5	0.209000	0.210000	0.209000	0.209333	0.000333
6	0.186000	0.186000	0.186000	0.186000	0.000000
7	0.177000	0.177000	0.176000	0.176667	0.000333
8	0.102000	0.103000	0.102000	0.102333	0.000333
9	0.059000	0.059000	0.059000	0.059000	0.000000
10	0.047000	0.044000	0.044000	0.045000	0.001000
11	0.075000	0.073000	0.072000	0.073333	0.000882
12	0.114000	0.114000	0.112000	0.113333	0.000667
13	0.121000	0.120000	0.118000	0.119667	0.000882
14	0.125000	0.125000	0.122000	0.124000	0.001000
15	0.113000	0.113000	0.111000	0.112333	0.000667
16	0.102000	0.104000	0.100000	0.102000	0.001155
17	0.079000	0.080000	0.078000	0.079000	0.000577
18	0.027000	0.027000	0.026000	0.026667	0.000333
