Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.219000	0.218000	0.221000	0.219333	0.000882
3	0.171000	0.172000	0.174000	0.172333	0.000882
4	0.201000	0.201000	0.204000	0.202000	0.001000
5	0.199000	0.199000	0.202000	0.200000	0.001000
6	0.209000	0.207000	0.211000	0.209000	0.001155
7	0.197000	0.195000	0.199000	0.197000	0.001155
8	0.194000	0.191000	0.195000	0.193333	0.001202
9	0.177000	0.174000	0.177000	0.176000	0.001000
10	0.168000	0.165000	0.167000	0.166667	0.000882
11	0.149000	0.147000	0.148000	0.148000	0.000577
12	0.137000	0.135000	0.136000	0.136000	0.000577
13	0.118000	0.117000	0.116000	0.117000	0.000577
14	0.103000	0.102000	0.101000	0.102000	0.000577
15	0.078000	0.077000	0.077000	0.077333	0.000333
16	0.026000	0.026000	0.026000	0.026000	0.000000
