Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.220000	0.221000	0.222000	0.221000	0.000577
3	0.171000	0.171000	0.173000	0.171667	0.000667
4	0.205000	0.204000	0.206000	0.205000	0.000577
5	0.204000	0.204000	0.205000	0.204333	0.000333
6	0.215000	0.216000	0.216000	0.215667	0.000333
7	0.205000	0.206000	0.205000	0.205333	0.000333
8	0.203000	0.204000	0.204000	0.203667	0.000333
9	0.186000	0.186000	0.188000	0.186667	0.000667
10	0.177000	0.178000	0.179000	0.178000	0.000577
11	0.157000	0.158000	0.159000	0.158000	0.000577
12	0.145000	0.145000	0.147000	0.145667	0.000667
13	0.124000	0.123000	0.125000	0.124000	0.000577
14	0.107000	0.107000	0.108000	0.107333	0.000333
15	0.080000	0.080000	0.081000	0.080333	0.000333
16	0.026000	0.027000	0.027000	0.026667	0.000333
