Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.221000	0.219000	0.217000	0.222000	0.223000	0.222000	0.221000	0.227000	0.221000	0.221444	0.000915
3	0.168000	0.169000	0.170000	0.174000	0.172000	0.169000	0.174000	0.177000	0.172000	0.171667	0.000986
4	0.203000	0.203000	0.204000	0.206000	0.206000	0.203000	0.207000	0.208000	0.205000	0.205000	0.000624
5	0.202000	0.204000	0.205000	0.206000	0.206000	0.204000	0.207000	0.208000	0.205000	0.205222	0.000596
6	0.216000	0.217000	0.218000	0.219000	0.218000	0.216000	0.219000	0.219000	0.218000	0.217778	0.000401
7	0.206000	0.207000	0.208000	0.209000	0.209000	0.206000	0.210000	0.210000	0.208000	0.208111	0.000512
8	0.205000	0.205000	0.207000	0.208000	0.209000	0.205000	0.208000	0.208000	0.208000	0.207000	0.000527
9	0.189000	0.188000	0.192000	0.190000	0.193000	0.189000	0.191000	0.191000	0.192000	0.190556	0.000556
10	0.182000	0.180000	0.184000	0.181000	0.185000	0.181000	0.183000	0.182000	0.183000	0.182333	0.000527
11	0.162000	0.160000	0.165000	0.163000	0.164000	0.161000	0.163000	0.162000	0.163000	0.162556	0.000503
12	0.150000	0.148000	0.152000	0.151000	0.152000	0.148000	0.150000	0.148000	0.149000	0.149778	0.000547
13	0.128000	0.126000	0.129000	0.129000	0.129000	0.127000	0.128000	0.127000	0.127000	0.127778	0.000364
14	0.110000	0.110000	0.112000	0.112000	0.111000	0.109000	0.111000	0.110000	0.111000	0.110667	0.000333
15	0.082000	0.082000	0.084000	0.083000	0.082000	0.082000	0.083000	0.081000	0.082000	0.082333	0.000289
16	0.028000	0.027000	0.028000	0.028000	0.028000	0.028000	0.028000	0.027000	0.027000	0.027667	0.000167
