Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.089000	0.091000	0.089000	0.089667	0.000667
3	0.202000	0.203000	0.202000	0.202333	0.000333
4	0.199000	0.201000	0.200000	0.200000	0.000577
5	0.210000	0.211000	0.210000	0.210333	0.000333
6	0.188000	0.190000	0.188000	0.188667	0.000667
7	0.179000	0.182000	0.180000	0.180333	0.000882
8	0.104000	0.106000	0.105000	0.105000	0.000577
9	0.061000	0.062000	0.062000	0.061667	0.000333
10	0.052000	0.050000	0.052000	0.051333	0.000667
11	0.081000	0.080000	0.080000	0.080333	0.000333
12	0.122000	0.122000	0.122000	0.122000	0.000000
13	0.127000	0.127000	0.126000	0.126667	0.000333
14	0.131000	0.131000	0.130000	0.130667	0.000333
15	0.116000	0.117000	0.117000	0.116667	0.000333
16	0.104000	0.106000	0.104000	0.104667	0.000667
17	0.080000	0.081000	0.079000	0.080000	0.000577
18	0.026000	0.027000	0.026000	0.026333	0.000333
