Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.226000	0.225000	0.222000	0.224333	0.001202
3	0.176000	0.176000	0.174000	0.175333	0.000667
4	0.205000	0.205000	0.203000	0.204333	0.000667
5	0.203000	0.204000	0.202000	0.203000	0.000577
6	0.214000	0.214000	0.212000	0.213333	0.000667
7	0.203000	0.204000	0.202000	0.203000	0.000577
8	0.201000	0.202000	0.199000	0.200667	0.000882
9	0.185000	0.185000	0.182000	0.184000	0.001000
10	0.177000	0.177000	0.174000	0.176000	0.001000
11	0.158000	0.158000	0.155000	0.157000	0.001000
12	0.146000	0.146000	0.143000	0.145000	0.001000
13	0.126000	0.126000	0.124000	0.125333	0.000667
14	0.110000	0.109000	0.108000	0.109000	0.000577
15	0.083000	0.082000	0.082000	0.082333	0.000333
16	0.028000	0.028000	0.028000	0.028000	0.000000
