Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.094000	0.094000	0.094000	0.094000	0.000000
3	0.204000	0.202000	0.203000	0.203000	0.000577
4	0.199000	0.198000	0.198000	0.198333	0.000333
5	0.206000	0.205000	0.205000	0.205333	0.000333
6	0.181000	0.180000	0.180000	0.180333	0.000333
7	0.171000	0.170000	0.170000	0.170333	0.000333
8	0.097000	0.097000	0.097000	0.097000	0.000000
9	0.055000	0.055000	0.055000	0.055000	0.000000
10	0.039000	0.038000	0.039000	0.038667	0.000333
11	0.064000	0.063000	0.064000	0.063667	0.000333
12	0.100000	0.097000	0.100000	0.099000	0.001000
13	0.105000	0.102000	0.105000	0.104000	0.001000
14	0.108000	0.107000	0.109000	0.108000	0.000577
15	0.098000	0.097000	0.100000	0.098333	0.000882
16	0.090000	0.088000	0.092000	0.090000	0.001155
17	0.071000	0.069000	0.071000	0.070333	0.000667
18	0.024000	0.023000	0.024000	0.023667	0.000333
